sysid,sum_min,num_trip,pct_ttl_num_trips,yroverchange,year,assigned_month
56,0,0,0,0,2019,4
56,0,0,0,0,2019,4
56,6415643.117,370498,,,2019,4
56,0,0,0,0,2019,4
54,229541.13,7102,0.001947296,,2019,4
54,0,0,0,0,2019,4
54,0,0,0,0,2019,4
54,0,0,0,0,2019,4
54,0,0,0,0,2019,4
54,218254.06,6720,,,2019,4
54,0,0,0,0,2019,4
54,0,0,0,0,2019,4
54,11287.07,382,,,2019,4
53,0,0,0,0,2019,4
53,0,0,0,0,2019,4
53,299808,14688,0.004027301,,2019,4
53,278014,13831,,,2019,4
53,0,0,0,0,2019,4
53,0,0,0,0,2019,4
53,0,0,0,0,2019,4
53,21794,857,,,2019,4
53,0,0,0,0,2019,4
43,1162544,70346,0.019288159,,2019,4
43,0,0,0,0,2019,4
43,0,0,0,0,2019,4
43,0,0,0,0,2019,4
43,1084095,65790,,,2019,4
43,0,0,0,0,2019,4
43,0,0,0,0,2019,4
43,0,0,0,0,2019,4
43,78449,4556,,,2019,4
4,6442105.8,541432,0.14845516,,2019,4
4,0,0,0,0,2019,4
4,0,0,0,0,2019,4
4,0,0,0,0,2019,4
4,6442105.8,541432,,,2019,4
4,0,0,0,0,2019,4
4,0,0,0,0,2019,4
4,0,0,0,0,2019,4
4,0,0,0,0,2019,4
29,0,0,0,0,2019,4
29,191497,7564,0.002073972,,2019,4
29,0,0,0,0,2019,4
29,180814,7102,,,2019,4
29,0,0,0,0,2019,4
29,0,0,0,0,2019,4
29,0,0,0,0,2019,4
29,0,0,0,0,2019,4
29,10683,462,,,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
25,0,0,0,0,2019,4
3,0,0,0,0,2019,4
3,27670056.18,2039360,0.559171815,,2019,4
3,0,0,0,0,2019,4
3,27670056.18,2039360,,,2019,4
3,0,0,0,0,2019,4
3,0,0,0,0,2019,4
3,0,0,0,0,2019,4
3,0,0,0,0,2019,4
3,0,0,0,0,2019,4
1,0,0,0,0,2019,4
1,3081554.967,192023,0.052650758,,2019,4
1,0,0,0,0,2019,4
1,0,0,0,0,2019,4
1,3081554.967,192023,,,2019,4
1,0,0,0,0,2019,4
1,0,0,0,0,2019,4
1,0,0,0,0,2019,4
1,0,0,0,0,2019,4
9999,320134.5,32474,0.010476434,,2019,5
9999,0,0,0,0,2019,5
9999,0,0,0,0,2019,5
9999,320134.5,32474,,,2019,5
9999,0,0,0,0,2019,5
9999,0,0,0,0,2019,5
9999,0,0,0,0,2019,5
9999,0,0,0,0,2019,5
9999,0,0,0,0,2019,5
74,341490.0167,13784,0.004446855,,2019,5
74,158552.5,7448,0.598280986,,2019,5
74,274050.7,14710,0.961563603,,2019,5
74,19419.33333,1014,,,2019,5
74,25419.38333,996,,,2019,5
74,9071.466667,465,,,2019,5
74,149481.0333,6983,,,2019,5
74,254631.3667,13696,,,2019,5
74,316070.6333,12788,,,2019,5
73,275108,18009,0.005809881,,2019,5
73,15222,588,0.038436397,,2019,5
73,4127,280,0.022491766,,2019,5
73,2776,101,,,2019,5
73,962,49,,,2019,5
73,43492,3047,,,2019,5
73,3165,231,,,2019,5
73,231616,14962,,,2019,5
73,12446,487,,,2019,5
